idx,name,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,volume_mm3
11,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,-22.05,7.729,-4.225,3.3,0.5,0.5,0.644
12,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,-19.75,8.979,6.074,3.3,5.75,4.7,50.188
13,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,-22.05,8.979,4.224,3.3,0.5,0.5,0.644
14,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,-22.05,7.729,4.224,3.3,0.5,0.5,0.644
15,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,-22.05,10.229,4.224,3.3,0.5,0.5,0.644
16,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/PCBA_1:1/PCBA_1,-16.15,1.33,-0.0,2.7,12.94,16.2,221.832
17,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/WJ-BB00-0235_HORN_22:1/WJ-BB00-0235_HORN_22,-1.2,-0.0,-0.0,4.0,16.0,16.0,451.691
18,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:1/M2-10-6_2,-18.0,0.0,6.5,7.0,3.2,3.2,31.542
19,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:1/M2-4LOUSI_1,-21.15,0.0,6.5,5.5,3.5,3.5,22.451
20,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:2/M2-10-6_2,-18.0,0.0,-6.5,7.0,3.2,3.2,31.542
21,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:2/M2-4LOUSI_1,-21.15,0.0,-6.5,5.5,3.5,3.5,22.451
