idx,name,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,volume_mm3
53,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:3/PHS_1_7X20_5_DC10_3_3,70.574,37.969,-4.9,2.8,21.259,2.8,37.814
54,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:4/PHS_1_7X20_5_DC10_3_3,74.074,37.969,8.4,2.8,21.259,2.8,37.814
55,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/OUTGEAR_ASM_11_ASM:1/OUTGEAR_ASM_11_ASM/OUTPUTGEAR_40:1/OUTPUTGEAR_40,93.477,30.848,-0.004,16.276,11.9,16.272,540.405
56,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,84.496,44.648,6.075,5.75,3.3,4.7,50.188
57,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,84.496,46.948,4.225,0.5,3.3,0.5,0.644
58,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,83.246,46.948,4.225,0.5,3.3,0.5,0.644
59,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,85.746,46.948,4.225,0.5,3.3,0.5,0.644
60,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,84.496,44.648,-6.074,5.75,3.3,4.7,50.188
61,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,84.496,46.948,-4.224,0.5,3.3,0.5,0.644
62,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,85.746,46.948,-4.224,0.5,3.3,0.5,0.644
63,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,83.246,46.948,-4.224,0.5,3.3,0.5,0.644
64,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/PCBA_1:1/PCBA_1,92.144,41.048,0.0,12.94,2.7,16.2,221.832
65,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/WJ-BB00-0235_HORN_22:1/WJ-BB00-0235_HORN_22,93.474,26.098,0.0,16.0,4.0,16.0,451.691
66,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:1/M2-10-6_2,93.474,42.898,-6.5,3.2,7.0,3.2,31.542
67,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:1/M2-4LOUSI_1,93.474,46.048,-6.5,3.5,5.5,3.5,22.451
68,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:2/M2-10-6_2,93.474,42.898,6.5,3.2,7.0,3.2,31.542
69,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:2/M2-4LOUSI_1,93.474,46.048,6.5,3.5,5.5,3.5,22.451
70,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/MF85ZZ_1:1/MF85ZZ_1,93.474,51.348,0.0,9.2,2.5,9.2,84.153
71,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/L_RACK:1/L_RACK,72.559,22.298,0.0,81.681,9.5,20.0,5385.925
72,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/=>[0:1:1:42]/SOLID,57.737,0.758,1.0,111.474,106.681,22.0,32922.815
73,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/=>[0:1:1:43]/SOLID,-7.804,0.0,31.982,72.193,100.0,87.965,97076.41
74,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0413-MIDDLECASE_80:1/WJ-WK00-0413-MIDDLECASE_80,-13.2,7.5,52.094,15.0,34.0,20.0,1568.31
75,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0412-TOPCABINET_74:1/WJ-WK00-0412-TOPCABINET_74,-4.225,7.5,52.094,4.05,34.0,20.0,2071.664
76,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-414-BOTTOMCASE_48:1/WJ-WK00-414-BOTTOMCASE_48,-23.925,7.5,52.094,7.551,34.0,20.0,1142.073
77,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:1/PHS_1_7X20_5_DC10_3_3,-13.071,-4.5,60.494,21.259,2.8,2.8,37.814
78,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:2/PHS_1_7X20_5_DC10_3_3,-13.071,-4.5,43.694,21.259,2.8,2.8,37.814
79,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:3/PHS_1_7X20_5_DC10_3_3,-13.071,22.9,56.994,21.259,2.8,2.8,37.814
80,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:4/PHS_1_7X20_5_DC10_3_3,-13.071,19.4,43.694,21.259,2.8,2.8,37.814
81,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/OUTGEAR_ASM_11_ASM:1/OUTGEAR_ASM_11_ASM/OUTPUTGEAR_40:1/OUTPUTGEAR_40,-5.95,-0.002,52.098,11.9,16.276,16.272,540.405
82,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,-19.75,8.979,46.019,3.3,5.75,4.7,50.188
83,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,-22.05,8.979,47.869,3.3,0.5,0.5,0.644
84,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,-22.05,10.229,47.869,3.3,0.5,0.5,0.644
85,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,-22.05,7.729,47.869,3.3,0.5,0.5,0.644
86,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,-19.75,8.979,58.168,3.3,5.75,4.7,50.188
87,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,-22.05,8.979,56.318,3.3,0.5,0.5,0.644
88,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,-22.05,7.729,56.318,3.3,0.5,0.5,0.644
89,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,-22.05,10.229,56.318,3.3,0.5,0.5,0.644
90,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/PCBA_1:1/PCBA_1,-16.15,1.33,52.094,2.7,12.94,16.2,221.832
91,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/WJ-BB00-0235_HORN_22:1/WJ-BB00-0235_HORN_22,-1.2,0.0,52.094,4.0,16.0,16.0,451.691
92,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:1/M2-10-6_2,-18.0,0.0,58.594,7.0,3.2,3.2,31.542
93,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:1/M2-4LOUSI_1,-21.15,0.0,58.594,5.5,3.5,3.5,22.451
94,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:2/M2-10-6_2,-18.0,0.0,45.594,7.0,3.2,3.2,31.542
95,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:2/M2-4LOUSI_1,-21.15,0.0,45.594,5.5,3.5,3.5,22.451
96,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:1/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/MF85ZZ_1:1/MF85ZZ_1,-26.45,0.0,52.094,2.5,9.2,9.2,84.153
97,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0413-MIDDLECASE_80:1/WJ-WK00-0413-MIDDLECASE_80,-14.2,-22.5,45.094,15.0,20.0,34.0,1568.31
98,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0412-TOPCABINET_74:1/WJ-WK00-0412-TOPCABINET_74,-23.175,-22.5,45.094,4.05,20.0,34.0,2071.664
99,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-414-BOTTOMCASE_48:1/WJ-WK00-414-BOTTOMCASE_48,-3.475,-22.5,45.094,7.551,20.0,34.0,1142.073
100,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:1/PHS_1_7X20_5_DC10_3_3,-14.329,-14.1,33.094,21.259,2.8,2.8,37.814
101,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:2/PHS_1_7X20_5_DC10_3_3,-14.329,-30.9,33.094,21.259,2.8,2.8,37.814
102,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:3/PHS_1_7X20_5_DC10_3_3,-14.329,-17.6,60.494,21.259,2.8,2.8,37.814
103,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:4/PHS_1_7X20_5_DC10_3_3,-14.329,-30.9,56.994,21.259,2.8,2.8,37.814
104,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/OUTGEAR_ASM_11_ASM:1/OUTGEAR_ASM_11_ASM/OUTPUTGEAR_40:1/OUTPUTGEAR_40,-21.45,-22.496,37.592,11.9,16.272,16.276,540.405
105,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,-7.65,-28.575,46.573,3.3,4.7,5.75,50.188
106,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,-5.35,-26.725,46.573,3.3,0.5,0.5,0.644
107,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,-5.35,-26.725,47.823,3.3,0.5,0.5,0.644
108,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,-5.35,-26.725,45.323,3.3,0.5,0.5,0.644
109,vertical_translation_v8/assembly v13/AUX_GRIPPER:1/AUX_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:2/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,-7.65,-16.426,46.573,3.3,4.7,5.75,50.188
